x,y,z,R,P,Y,t1,t2,t3,t4,t5,t6
0.14317864,-0.00147219,0.33752155,-0.7739528,0.09097441,-2.8228955,-1.3680713,-0.59093916,0.13626218,-3.8216114,0.3729862,2.3865
0.12810387,-0.037707254,0.027669124,0.5373743,-0.096946694,-0.97828466,-1.2434584,1.9419764,-1.2600636,-2.2065508,0.32308728,2.5349116
0.11926749,0.1337601,-0.2191822,0.83943796,0.5483933,1.5878011,0.4094385,1.8025738,0.09430051,-2.2298934,1.5398533,-1.5672563
-0.0064645,0.09318784,-0.09661131,2.2961981,-0.8119926,-0.32900387,-0.6216585,0.7401848,-1.9237518,-2.1349502,1.4744294,-0.4046427
0.31130946,-0.19362916,0.17497702,0.8174321,0.4265855,-0.88821924,-0.8874433,0.21005511,0.33552814,-0.28148174,0.36212224,0.497692
0.13058215,0.16238382,0.13256505,-1.5430626,0.3118819,0.917352,-0.2393328,0.17796504,-0.7475362,-4.7878194,1.5877073,-0.07695854
0.18100256,-0.016087094,0.3359527,-0.14449991,-0.10593284,2.796903,-0.8569555,-0.38093388,0.18809462,-2.3768184,-0.019980043,-0.24349737
0.25138637,-0.18991467,-0.05223518,1.4340345,-0.16262038,2.3373082,-0.89959675,1.0728709,-0.08075714,-1.2416456,0.88902193,-1.4263238
0.12649356,0.12174575,-0.072279885,1.4311504,0.7536725,-2.871767,0.37598205,1.6843921,-0.72534704,-1.4306514,1.2000422,-0.4444369
0.069772676,0.118333474,0.05999858,-0.051265318,0.32551643,-2.4996505,-0.38881755,1.6815048,-1.5217121,-2.2096806,-0.20849471,0.07691038
0.250885,0.014748678,-0.3120554,1.947151,0.9381801,1.4426829,-0.4115858,1.6510643,0.44863105,-2.5925207,0.35480255,-0.29939258
0.15393338,0.2535004,-0.03627076,-0.6114929,0.68846005,1.1781179,0.583871,1.299948,-0.31765604,-0.20183468,-0.098140776,0.5604545
0.011591207,0.20979336,0.058604993,-1.5198989,0.54637015,0.13088237,0.78292406,0.76522934,-0.98477733,0.24427271,1.7404823,-1.3607049
0.13913906,0.027169552,0.26317763,-0.51795524,-0.110173196,2.202513,-1.0589972,-0.22946176,-0.37975776,-2.1653233,-0.17611596,-0.78186035
0.14879745,0.10714917,0.071502276,-1.1896727,0.64646125,2.3870964,-0.9903734,0.0648486,-1.2671957,-4.900031,1.1844559,2.3394113
-0.14105554,0.12575316,0.19063988,-1.0633832,-0.8422993,2.4732516,0.5728015,-0.6162099,-0.65379,-4.950263,1.1662941,1.8845257
0.07872178,0.014997957,0.06463818,-2.654046,-0.8747655,1.7270352,-1.4203159,-0.029271543,-1.0184622,-2.3440359,1.4967761,0.27084005
-0.08453703,0.16098683,0.045659363,-2.1895854,-0.32279968,-0.4083014,0.28100944,-0.5774526,-1.104218,-4.138494,1.4193647,-0.15262473
0.16885802,-0.06487894,0.032184172,-0.380633,0.31572756,-2.707083,-1.3415524,1.467081,-0.92608917,-3.6486506,0.90747064,2.1044888
0.1471482,-0.061311424,0.03876635,0.7779909,0.0091022495,-1.8171979,-1.1298053,1.4627422,-1.1459639,-0.64789677,0.50376576,0.015520334
0.015195774,0.12919764,0.26203477,1.1790903,-0.2930181,3.074092,0.66350186,-0.21757483,-0.03183341,-2.4738286,0.9945633,-1.6845047
