x,y,z,R,P,Y,t1,t2,t3,t4,t5,t6
0.14136136,0.1015934,0.27148837,0.013808793,-0.16860491,-0.4818434,-0.16023761,-0.08625557,-0.21961859,-0.2779466,0.14708576,-0.05099076
0.04362211,0.11806528,0.24352917,0.10863236,-0.55438346,-0.34949255,-0.019532919,-0.1505259,-0.4806653,-0.9368851,0.12749231,0.54281706
0.16239579,0.12699945,0.24667095,0.17899296,0.14760973,-0.3685872,0.08066332,0.072499365,-0.22648636,-0.5895561,0.34375027,0.13884836
0.19484124,0.05175857,0.28751802,0.00804673,0.048644427,-0.68981355,-0.41665107,-0.12987989,-0.065975726,0.05107653,0.24390095,-0.32282844
0.16545641,0.11956154,0.23500603,-0.02791486,-0.14953537,-0.6177972,-0.04406613,0.14142513,-0.2586641,-0.5615083,-0.039468672,-0.008896828
0.24876547,0.065164104,0.23520556,0.123240985,0.44473407,0.015743263,-0.25329435,0.1231713,-0.11075002,0.0008767843,0.4479708,0.2960574
0.19428286,0.12768531,0.2717311,0.13626648,0.09884042,-1.3620048,0.056677222,-0.029129907,0.030213892,-1.0022935,0.16757283,-0.40956157
0.20781693,0.15092388,0.21015984,-0.012505111,0.09402862,0.42780006,0.11765915,0.27489707,-0.12510425,-0.024428844,-0.05496458,0.33388084
0.27190915,0.087950334,0.22327796,0.048557907,0.44895858,0.5236719,-0.14639342,0.17423457,0.004625082,0.07447827,0.2728439,0.6048216
0.17586742,0.13563846,0.18896389,0.06650049,0.06910209,-1.0309278,0.08162862,0.39143133,-0.3797009,-0.94580376,0.08853113,-0.16403183
0.35328984,-0.033654664,0.112007216,0.60419697,0.635076,-1.7044126,-0.42315924,0.5115417,0.11346573,-0.7060978,0.27050307,-0.3120073
0.27635917,0.14397427,0.12118249,0.13487093,0.70279425,-0.52108514,0.1033892,0.59190243,-0.1435794,-0.60878253,0.29956102,0.0743081
0.29270077,0.03041385,0.20066589,0.37729684,0.3344413,-0.8259299,-0.27920613,0.25925943,0.030300796,-1.0390644,0.28708166,0.59348685
0.09793483,0.111008,0.24920802,0.16373016,-0.2955682,-1.0558602,-0.03938195,-0.037687913,-0.39003175,-0.9018085,0.21489367,-0.1753197
0.24751592,0.12119115,0.15176773,0.15503088,0.3723073,-0.4940983,0.021807164,0.53282416,-0.23449796,-1.1164083,0.16967762,0.65285236
0.21112128,0.07699355,0.27401042,0.023607781,-0.02333637,-0.75230736,-0.232679,-0.037872642,0.0064526796,-1.1079872,0.031681307,0.58763796
0.29339525,0.03902813,0.18338288,0.15969765,0.52981997,0.041025452,-0.31094456,0.3486914,-0.09579161,0.08159447,0.29872707,0.31060565
0.13102552,0.093346775,0.25926164,0.32677412,-0.06920874,-0.71430826,-0.09006593,-0.05692643,-0.29908603,-0.8394814,0.45208937,0.1439088
0.20575774,0.12648271,0.18376505,0.30293885,0.3036177,-1.2628939,0.09895915,0.38898325,-0.2904824,-1.0522491,0.36845568,-0.24688202
0.19879553,0.15862982,0.1688394,0.024470475,0.43871224,-0.6590168,0.18650913,0.46585083,-0.34343907,-0.32365108,0.32162622,-0.51003593
0.16227385,0.06836966,0.18069509,0.47203764,-0.14340512,-1.079492,-0.17566285,0.3793152,-0.52335876,-1.4325794,0.49222934,0.45839685
0.15244526,0.13668196,0.2190803,0.2779177,0.018412927,-1.3075576,0.17504787,0.21862134,-0.29093942,-1.4258146,0.27985877,-0.06429148
0.17943408,0.098419316,0.19607079,-0.011386029,-0.07915378,-1.1644148,-0.15737396,0.34715217,-0.4276522,-1.1411138,0.0013008192,0.13447613
0.12960364,0.12951797,0.29012892,-0.034115683,-0.2540939,-0.7922675,0.013804823,-0.16040282,-0.0658443,-0.924817,-0.045701854,0.12725604
0.2822043,0.1958745,0.11139558,-0.07888274,0.71858835,0.13101983,0.2544868,0.56033295,0.043619037,-0.7752198,0.15540433,0.656655
0.28812695,0.03205038,0.22905496,0.19900495,0.23597309,-1.4837265,-0.30954063,0.14619079,0.11973643,-1.3863713,0.11403967,0.2508834
0.112974815,0.11424531,0.21996607,-0.051058583,-0.3655327,-1.302332,-0.109671205,0.13202104,-0.49080193,-0.6875032,-0.0130085945,-0.49421996
0.3550803,0.060920276,0.12164992,0.26381296,1.0118762,-0.5659713,-0.19021621,0.44884086,0.101627946,0.052786708,0.48329747,-0.28968298
0.09082082,0.14711474,0.286665,0.08366844,-0.14886744,-0.579917,0.23074234,-0.16060884,-0.14231342,-0.32496548,0.14627501,-0.49900272
0.19476949,0.102360256,0.16558051,-0.013660036,0.0057549477,-0.5251186,-0.1275641,0.5215082,-0.4643342,-0.2623775,-0.055084795,-0.13562468
0.19945127,0.1258954,0.1879877,0.13710892,0.38779697,-0.36687025,0.0477688,0.36983085,-0.36947393,-0.37096024,0.40982854,-0.01668781
0.16248032,0.145427,0.18424582,-0.04397002,0.18793973,0.5452155,0.10932368,0.4062757,-0.4727214,0.08809948,0.25905704,0.3444062
0.12863085,0.05036729,0.21537465,0.36826268,-0.42735946,-0.92200416,-0.3957222,0.111589015,-0.51153326,-1.3687385,0.49117523,0.6632231
0.23368281,0.1553269,0.17358206,-0.005962409,0.4320089,0.03772282,0.1363259,0.42229939,-0.18099052,-0.2696253,0.19471097,0.17609501
0.29329154,0.012774434,0.21630965,0.5943929,0.22417364,-1.3511273,-0.29041454,0.15453058,0.14861637,-1.3330182,0.49243915,0.4164847
0.13316512,0.110574715,0.26785502,0.09673533,0.095578775,0.048235007,-0.070976734,-0.09674903,-0.28881174,-0.18854332,0.49560302,0.29472905
0.062903486,0.14140768,0.2200455,0.12834318,-0.10003913,-0.091421306,0.27195358,0.110254675,-0.5580887,-0.30007386,0.33021307,-0.091382354
0.31926262,0.15369765,0.10788062,0.22195278,0.78827804,-1.5636905,0.13417047,0.5237753,0.13225782,-1.1182454,0.28016114,-0.3988884
0.24262027,0.17418294,0.21089886,0.0037592722,0.44071975,-0.0049932115,0.21096158,0.21788734,0.063702404,-0.5572453,0.17610559,0.3555088
0.26650348,0.0911066,0.21536553,0.053238478,0.29909194,-0.16802612,-0.12887794,0.2255758,-0.010936618,-0.14076173,0.08964411,0.110999286
0.344774,-0.03134747,0.13906394,0.49012333,0.5120263,-1.3768132,-0.42809018,0.43210334,0.13805652,-1.0238285,0.20030591,0.2569213
0.30821913,0.092914216,0.17098263,0.39053214,0.53319514,-1.0258727,-0.042672724,0.3358522,0.101955414,-1.1551836,0.34087938,0.35103786
0.30524987,0.16223621,0.13519198,0.21479392,0.7505274,-0.33727598,0.16978204,0.43456352,0.13512069,-1.0381805,0.31741512,0.69867915
0.2014966,0.06882767,0.18491748,0.39352542,0.041935753,-1.9000541,-0.169714,0.38800442,-0.38776544,-1.2926369,0.3955719,-0.4292965
0.2155199,0.07444061,0.23936269,0.33455595,0.050943132,-0.7978842,-0.14735621,0.11744282,-0.107117,-1.2976699,0.33534217,0.65742916
0.07359489,0.1457411,0.27763057,0.030558445,-0.0005178075,-0.1935198,0.24511397,-0.1651525,-0.27192596,-0.0708431,0.43010926,-0.37434912
0.14328197,0.11107258,0.2821417,0.05342516,-0.13035771,-0.063344575,-0.07452607,-0.12182616,-0.13419127,-0.45062482,0.14395076,0.45030183
0.12193996,0.11452091,0.26810917,0.043472692,-0.27649269,-0.9145436,-0.060634047,-0.0807058,-0.23510495,-0.9472958,0.07184134,0.07807678
0.02244038,0.12641132,0.23996349,0.11903378,-0.38808995,0.7150781,0.14311093,-0.14982682,-0.5432534,-0.18874896,0.29653114,0.71807605
0.3629033,0.028693484,0.09263441,0.47315142,0.9049378,-1.1512406,-0.2597888,0.55886686,0.100375414,-0.21478426,0.33487546,-0.41721958
0.2720327,0.16360147,0.14268029,0.10251514,0.71903944,-0.3861734,0.17670453,0.4783088,-0.057238102,-0.6110948,0.3404494,0.1302293
0.23812018,0.05524237,0.16833803,0.16056313,0.46529025,0.3878587,-0.3111195,0.46449065,-0.43445674,0.0030031204,0.46025652,0.7340743
0.24870045,0.12836719,0.1499571,0.09605236,0.4829503,0.18328951,0.03771448,0.5335562,-0.2506182,-0.48049194,0.22336367,0.664717
0.1082375,0.13162407,0.2407943,0.02411766,-0.29757175,-0.2781087,0.05882424,0.056107566,-0.36040097,-0.7810315,0.008207776,0.43959767
0.2576687,0.098931976,0.16377616,0.28089616,0.3209909,-1.3035102,-0.041519135,0.46428096,-0.17222878,-1.373818,0.25749552,0.19507414
0.16254249,0.084084004,0.20212638,0.0049151797,0.079602264,0.24216108,-0.28601205,0.26107973,-0.5685569,0.04716444,0.38562563,0.48397356
0.25570545,0.060768757,0.17150572,0.091040514,0.2583531,-0.23636506,-0.25866473,0.4608521,-0.2612747,-0.26175928,0.07589763,0.29786783
0.10139096,0.14317548,0.22307158,0.10568013,-0.16620904,-0.40552485,0.19399685,0.16275537,-0.4329005,-0.68479383,0.11118882,0.06694949
0.17192382,0.08209508,0.2658086,0.19363259,-0.15778166,-0.9012883,-0.18119296,-0.025244161,-0.13981205,-1.3845441,0.22081673,0.63110214
0.2292386,0.17565027,0.21016322,-0.06727431,0.54684854,-0.32255605,0.21841699,0.22321355,-0.03296286,-0.16058815,0.36194697,-0.39357734
0.19200179,0.06202773,0.28099537,-0.0560034,-0.15580423,-0.20800945,-0.35718787,-0.087866284,-0.04006791,0.06517935,-0.037614547,0.088214695
0.07234866,0.117241606,0.24659616,0.035793696,-0.48520055,-1.2258643,-0.06263229,-0.08973133,-0.43178073,-1.005819,0.072031565,-0.18242902
0.32822728,0.07965932,0.13571578,0.088087656,0.5498289,0.0838774,-0.14225546,0.48654747,0.0691126,-0.3445784,0.00049171597,0.59561914
