x,y,z,R,P,Y,t1,t2,t3,t4,t5,t6
0.27719635,0.08650728,0.19635196,0.022103798,0.25776732,-0.65340596,-0.14803146,0.30868417,-0.013278574,-0.41647387,-0.0407016,-0.08847916
0.34300432,0.0011542253,0.12608045,0.31939372,0.6030577,-0.42956686,-0.36287096,0.50774455,0.06335628,-0.38218004,0.10866031,0.4276764
0.18692479,0.10460277,0.17413321,0.20620123,0.20560631,-0.5016241,-0.047156423,0.45650104,-0.48731187,-0.6654938,0.31378824,0.22937015
0.22073199,0.17916739,0.21074583,-0.08436102,0.3826248,0.37892646,0.22697136,0.24086267,-0.034830987,-0.04260528,0.18542437,0.17903873
0.18510571,0.11895675,0.16550264,-0.012187574,0.029907225,-0.49245298,-0.03991595,0.5219282,-0.4722562,-0.58295274,-0.02428142,0.1299015
0.21416369,0.04150705,0.2361899,0.3017446,0.074322775,-1.3787991,-0.33256918,0.12978303,-0.20532897,-0.82090414,0.3572331,-0.22396055
0.2740309,0.105629146,0.16373017,0.4165905,0.5083739,-0.8273192,0.010969728,0.41408,-0.08349815,-1.0677878,0.42192197,0.40288547
0.14590251,0.1391007,0.22400603,0.017863948,-0.11752602,-0.5781497,0.09288138,0.19614986,-0.3233343,-0.6734567,0.010883942,0.00094261765
0.18343043,0.15913752,0.2699623,-0.048733477,0.28472993,0.582149,0.17264506,-0.030335665,0.00449878,-0.0071012974,0.3145948,0.40958974
0.31137577,0.019306317,0.16170451,0.55497175,0.3987741,-1.6589469,-0.27227944,0.38954362,0.02544111,-1.1887312,0.40225458,-0.0020432174
0.24753758,0.13569957,0.19106317,0.0130695505,0.34254837,-0.49472177,0.048301905,0.3407891,-0.09881753,-0.2791685,0.10366081,-0.25809735
0.26438257,0.17012519,0.20679101,-0.05505877,0.50897175,0.5807117,0.16911438,0.21317789,0.12328708,-0.19745803,0.17752483,0.6007495
0.102950364,0.11324573,0.2346488,-0.08008797,-0.423854,-1.5921372,-0.1385563,0.025836512,-0.447118,-1.0252166,-0.018041331,-0.4078233
0.15641783,0.09536271,0.250149,-0.004990063,-0.18796527,-0.81197983,-0.19188392,0.038034663,-0.27808833,-0.5148381,0.06264062,-0.10849655
0.08947018,0.13145277,0.22036682,0.029638749,-0.39231867,0.33398813,0.06599727,0.1259991,-0.48775494,0.066608906,-0.031687733,0.19510499
0.19846596,0.08980251,0.20217362,-0.02801467,-0.04099927,-0.3729663,-0.19545846,0.3214946,-0.3448575,-0.71839416,-0.029622607,0.54168844
0.08634081,0.11729591,0.23455589,-0.08689027,-0.5114733,-0.23179728,-0.11672479,-0.010515153,-0.4628489,-0.38757348,-0.04806129,0.29963854
0.2867105,0.028900582,0.22963274,0.21927407,0.2550799,-1.7458091,-0.3205336,0.14422676,0.10514915,-1.0867195,0.13629507,-0.29512197
0.29582494,0.045183823,0.19077632,0.21417174,0.3469733,-1.145047,-0.25588605,0.313533,0.011276662,-1.016173,0.12655334,0.18243238
0.32236558,0.0021920148,0.14908607,0.49303636,0.5097922,-1.399157,-0.3454035,0.4392908,0.007312417,-0.8208056,0.31041223,-0.048726648
0.28632215,0.11642243,0.16318974,0.15760532,0.46070516,-0.72519684,-0.00019431114,0.4204969,-0.016735375,-1.1594044,0.15389995,0.5005444
0.20108,0.11421595,0.26891646,-0.040789388,-0.02365087,-0.6764862,-0.06936684,-0.011443511,0.006870091,-1.0604591,-0.044743802,0.4539115
0.15852948,0.098966666,0.24308947,-0.035657655,-0.20762497,-0.74048936,-0.17661752,0.07862002,-0.29134434,-0.7265724,0.0028247908,0.16621569
0.23619218,0.117585376,0.22219592,0.13318436,0.2645658,-1.0673313,0.0014757812,0.2023977,-0.06146741,-0.8020938,0.17981274,-0.2397779
0.22571851,0.10817899,0.26364166,0.051271785,0.14799929,-0.33601215,-0.06588367,0.011635825,0.053609252,-0.44475257,0.09514037,0.17976466
0.19269338,0.0894831,0.25194275,0.13457245,-0.018002069,-1.1123079,-0.14736198,0.06267384,-0.1493201,-0.9962013,0.16193159,0.024148136
0.0856525,0.09960183,0.25456193,-0.011803407,-0.51900566,-1.7877548,-0.25611275,-0.14894119,-0.3995422,-1.2300922,0.12310657,-0.3309092
0.07220142,0.1379717,0.23659733,0.092832536,-0.25473645,-0.50110686,0.18138626,0.033156782,-0.4550522,-0.27148438,0.16021045,-0.43197453
0.106737025,0.10052298,0.24291694,-0.11259175,-0.43836826,-0.79182,-0.26123095,-0.03795114,-0.42711616,-0.6985005,0.01764585,0.19033483
0.23630144,0.0994698,0.162704,0.05262982,0.24569754,-0.1712249,-0.105519146,0.5126445,-0.3171061,-0.4330449,0.059906036,0.37631187
0.16958937,0.17018087,0.20848623,-0.030495387,0.050174102,-0.20048282,0.23239401,0.29033023,-0.22204095,-0.9685664,-0.021945205,0.53430676
0.0964773,0.096472226,0.26213908,0.23045498,-0.36284554,-0.95246917,-0.13840353,-0.131182,-0.33705574,-1.128487,0.2923565,0.20945755
0.21395741,0.062751345,0.2706667,0.19009517,0.095214635,-0.8033314,-0.25869507,-0.031247064,-0.03437358,-0.65793526,0.26053447,0.11714205
0.22120298,0.103137195,0.2089569,0.024728077,0.17280573,-0.17423256,-0.10123652,0.2838178,-0.22746545,-0.058133125,0.118260846,-0.012526691
0.2109494,0.15771657,0.16591588,-0.059830904,0.39740103,-0.119933054,0.14629391,0.48155835,-0.3106637,-0.008180618,0.23075129,-0.26993316
0.07957171,0.12780254,0.24482556,0.02932043,-0.37026936,-0.47210217,0.039381295,-0.030220851,-0.41999033,-0.16391826,0.08012475,-0.35602546
0.15314355,0.069925204,0.21872498,0.32780784,-0.17053154,-1.3579531,-0.23236309,0.16986895,-0.4382646,-1.1429154,0.3923028,-0.059215575
0.21509372,0.060902685,0.2029447,0.0018902423,0.0010833924,-0.87505203,-0.31911033,0.31914297,-0.31921256,-0.71040636,0.002230987,0.15446559
0.25743753,0.17884257,0.19483542,0.07554165,0.5950855,-0.5259538,0.23783323,0.25501162,0.09386009,-0.7290178,0.2936443,0.023810983
0.26173028,0.053521246,0.25704503,0.06516621,0.17785238,-0.29118866,-0.28367642,0.03718832,0.10663587,-0.26048326,0.046667457,0.25965074
0.1547515,0.13894063,0.23999344,0.15252146,0.23306596,-0.47352764,0.15203807,0.09955537,-0.26501217,-0.46443146,0.41622746,-0.15868911
0.16617218,0.14143066,0.23532903,0.1857437,0.1184708,-0.29273832,0.16243824,0.14335656,-0.20192769,-0.9471079,0.24905749,0.49703816
0.32599926,0.04065939,0.14087766,0.113038726,0.46319088,-0.287733,-0.27237594,0.48953524,0.033507884,-0.44928223,-0.052997813,0.45448658
0.24182542,0.088700555,0.25873005,0.25186136,0.30265272,-0.852368,-0.09933734,0.015523747,0.064308226,-0.70100373,0.3269624,-0.0048795342
0.10836938,0.0872179,0.25450265,0.0764939,-0.36985326,-0.4735614,-0.28936017,-0.09790282,-0.39175153,-0.8538462,0.22942941,0.6127416
0.24884643,0.086178094,0.20000039,0.25789347,0.3902995,-0.16451906,-0.11089641,0.29643482,-0.17005706,-0.5882651,0.35389453,0.59856856
0.2518281,0.10239772,0.1968976,0.12136209,0.5080308,-0.10222207,-0.075176924,0.3034131,-0.17493266,-0.18047118,0.39421135,0.18964133
0.21102645,0.047860496,0.20507476,0.13468854,-0.015365233,-1.4414142,-0.34853888,0.30345142,-0.33309066,-1.1377687,0.14531676,0.041899532
0.20717768,0.12003236,0.1871674,0.16221204,0.22351748,-0.7734572,0.023801893,0.38933972,-0.31039378,-0.8557957,0.2171935,0.083301574
0.21072353,0.08295076,0.2641997,0.074276194,0.013785184,-1.4325238,-0.18833007,0.009973079,-0.037374288,-0.90923876,0.08922464,-0.33540767
0.20935431,0.04264097,0.20000634,0.21136333,0.22701265,-0.050753843,-0.38871416,0.30441228,-0.43567228,-0.24927866,0.4345368,0.60436296
0.30503917,0.02805406,0.14672756,0.17452252,0.4146309,-0.71300817,-0.32507017,0.51097023,-0.09229097,-0.6526881,0.036134474,0.30622515
0.1163574,0.14128394,0.23766422,0.00480578,-0.24959378,-0.3215457,0.115631014,0.097165644,-0.33088696,-1.0160624,-0.02808788,0.5810883
0.23281065,0.13259444,0.22891015,0.18404119,0.34758928,-0.6171883,0.083531916,0.15799484,-0.011976659,-0.81830275,0.27735603,0.16499087
0.24390249,0.15759137,0.18281989,-0.02657101,0.3250978,-0.12422339,0.13118812,0.37129292,-0.070028335,-0.6025465,0.029685713,0.34533575
0.19619477,0.118071,0.23639387,-0.0022638908,-0.007777831,-0.65328443,-0.038445413,0.14948165,-0.15451819,-0.60772496,-0.0034381822,-0.0071003437
0.163185,0.089537,0.23144078,0.06751055,0.015271077,-0.7895866,-0.20874684,0.12566188,-0.39841446,-0.20873344,0.30801433,-0.3802391
0.22810929,0.11500271,0.2605186,0.016527519,0.40206894,-0.30890104,-0.04705006,0.005834013,0.0054063797,0.00842762,0.39115,-0.2669292
0.0992074,0.0987914,0.22843057,0.2412769,-0.32120323,-0.578876,-0.1081571,0.044245526,-0.5007336,-1.057163,0.302512,0.4865707
0.12404209,0.08517756,0.2528407,0.10867397,-0.19085526,-0.3666631,-0.2746287,-0.05918487,-0.39801756,-0.4838454,0.33728957,0.3457949
0.23030902,0.079240955,0.20291686,0.09866126,0.17443192,-0.8529537,-0.19060934,0.31309083,-0.24562979,-0.4716245,0.13771181,-0.1799672
0.24928306,0.13703905,0.16198169,-0.02701305,0.2971474,-0.70493186,0.04281923,0.48173675,-0.16286245,-0.5673911,-0.024692126,-0.1865339
0.15096718,0.16087244,0.26997146,0.011931818,0.21107364,-0.083123654,0.23335066,-0.034600765,-0.08343834,-0.18767178,0.3262627,-0.13113326
0.21114947,0.07691812,0.2594631,0.030021265,-0.0027564382,-0.29801697,-0.23252793,0.033279747,-0.07128179,-0.6154626,0.051715605,0.5493648
0.20656873,0.051971935,0.26257557,0.11581557,0.043224934,-0.2313405,-0.34883973,0.0062654614,-0.12501594,-0.44392484,0.21999659,0.5583241
0.00533659,0.12923846,0.23740277,0.16912971,-0.62582695,-0.9116099,0.21854064,-0.14786403,-0.50405365,-0.74998254,0.009068377,-0.43709296
0.22803278,0.14511348,0.20831122,0.35365084,0.38245928,-0.7596006,0.18372539,0.23603809,-0.031346202,-1.2564386,0.4157418,0.42374614
0.1956478,0.09264702,0.23109792,0.076036565,0.017533261,-0.4953113,-0.14973938,0.16970003,-0.24153575,-0.62651384,0.12394537,0.27899894
0.19803755,0.06952862,0.2512194,0.18912937,0.19075304,-0.6250841,-0.25412184,0.04273884,-0.21903571,-0.3198675,0.42972058,-0.044858456
0.14158931,0.091141514,0.25444254,0.056392964,-0.27825093,-1.335601,-0.20811234,-0.00753282,-0.29006875,-1.259904,0.11556183,0.108049005
0.11327252,0.09985377,0.27052072,-0.13155219,-0.42291167,-0.21371871,-0.26381785,-0.15289626,-0.26877117,-0.40041047,-0.021690235,0.48060152
0.2971375,0.13843893,0.19469127,-0.072547555,0.71942717,0.7203995,0.03715661,0.23095134,0.119416595,0.0824945,0.37269932,0.56776595
0.19078386,0.07222135,0.2612219,0.008991619,0.01721141,-0.035779476,-0.29875714,0.0046689063,-0.18055734,-0.018198252,0.19501548,0.2809421
0.14883298,0.15481001,0.1934833,0.019143164,0.16569334,-0.17622852,0.20006785,0.35745123,-0.43566066,-0.21533525,0.24236576,-0.16139817
0.28154606,0.15315796,0.1685583,0.030862907,0.7618675,-0.42509085,0.1184549,0.35418424,0.0034299493,-0.26227498,0.4116627,-0.24860182
0.18533622,0.10485243,0.23193103,0.12499242,-0.0047821896,-0.7419138,-0.06956744,0.16365436,-0.23879924,-1.0096848,0.14781769,0.33233312
0.22921434,0.041562952,0.24191676,0.03864786,0.05854358,-0.66748714,-0.38459116,0.12122515,-0.12759718,-0.18184984,0.07639524,-0.09995851
0.2146778,0.0417692,0.27537644,0.14274575,-0.030653013,-1.5322201,-0.36839166,-0.04973603,-0.005725801,-1.0765783,0.1639562,-0.09345016
0.18348977,0.12892766,0.25412726,0.009793955,0.13427664,0.29252905,0.023479462,0.05226989,-0.13636744,-0.05929935,0.21849011,0.32846305
0.24100588,0.15271473,0.20471208,-0.0003685783,0.42137834,-0.4499977,0.12195441,0.2658365,-0.04926136,-0.24174726,0.20794629,-0.3247916
0.22409795,0.12766865,0.16499282,-0.0028860678,0.4172659,0.6245545,0.010556638,0.4886996,-0.3499254,-0.005964875,0.27850276,0.61946905
0.1325132,0.13563566,0.21874717,-0.0036411479,-0.20102143,-0.63141406,0.06690061,0.20719087,-0.39113832,-0.8006259,-0.023557663,0.104239315
0.16782388,0.1384482,0.2736924,0.11764738,-0.0038117361,-0.81518734,0.116375595,-0.040283546,-0.015242636,-1.2567155,0.122418,0.32169256
0.12244035,0.08676651,0.25266472,-0.18128063,-0.40746656,-1.507311,-0.3784826,-0.07303489,-0.36684954,-1.0784571,-0.008377191,-0.011169165
0.08018232,0.080460005,0.24189377,0.14088279,-0.5944759,-1.0107589,-0.3919584,-0.15456438,-0.48341024,-1.2455173,0.34611195,0.47617373
0.20697823,0.15758856,0.20801786,0.1298942,0.24242213,-1.4068698,0.1944702,0.27397972,-0.114367545,-1.254515,0.17958488,-0.3172633
0.18142755,0.13421947,0.19961983,-0.014192071,0.121922985,-0.2678368,0.044866055,0.33272177,-0.35559964,0.059440255,0.14557213,-0.37291032
0.15510435,0.07260334,0.2570222,0.08111406,-0.20132726,-1.0078408,-0.311963,-0.015338689,-0.28313595,-0.8169185,0.18894874,0.09227136
0.25335845,0.09093649,0.23342511,0.0455764,0.1806336,-0.80689406,-0.13458878,0.15127826,0.017270505,-0.88602185,0.02622132,0.21956179
0.17662846,0.15035798,0.16944936,0.058790687,0.3126533,-0.6923113,0.16840413,0.4821473,-0.4401641,-0.39797032,0.27884656,-0.45118648
0.19920267,0.16163401,0.27077273,0.0014395615,0.25038043,0.24069801,0.18411663,-0.029606909,0.102231264,-0.26472533,0.17957576,0.3232048
0.12159327,0.15614964,0.23370886,0.034374643,-0.14674185,-0.7441358,0.22327104,0.14197463,-0.29345798,-0.77281225,0.0011164099,-0.19718063
0.15800385,0.15786014,0.23130082,-0.004956157,0.1849691,0.046752386,0.19965616,0.16221091,-0.2508987,-0.11792755,0.2728194,-0.036860466
0.17826375,0.13206722,0.16605379,0.14037113,0.1498172,-1.1947623,0.08840433,0.51138484,-0.45601082,-1.0729291,0.17269918,-0.19546822
0.1910977,0.072733946,0.29520342,0.13809024,-0.043527648,-0.97015357,-0.24110867,-0.15583427,0.03698796,-0.92718387,0.18091746,0.18652263
0.09797297,0.107204415,0.24867532,0.08742087,-0.3883296,-0.9787202,-0.113203555,-0.049314864,-0.3946141,-1.0881369,0.13938609,0.17771474
0.24060078,0.10727552,0.18976153,-0.018977216,0.17311232,-0.55809796,-0.085894614,0.3719274,-0.18297297,-1.0763448,-0.037954472,0.59933126
0.19502522,0.14690292,0.2043471,0.037438575,0.11886388,-1.491942,0.121685654,0.30869865,-0.21753135,-1.1591526,0.055989206,-0.44990465
0.17899293,0.06366126,0.1912145,-0.05530179,-0.13839406,-0.86631936,-0.3791254,0.35867557,-0.508407,-0.25614047,0.00078867376,-0.22723472
0.30825195,0.09283195,0.16456816,0.03788593,0.4424502,-0.7943927,-0.11042374,0.39934942,0.05279857,-1.0045294,-0.015596397,0.32605764
0.08672512,0.120864026,0.27095872,-0.02226256,-0.40735617,-0.32374433,-0.053709537,-0.16301428,-0.28534275,-0.021247864,0.04043694,-0.2443836
0.274716,0.053139642,0.16103712,0.36144817,0.4661978,-0.51310354,-0.22108504,0.4638236,-0.21492982,-0.63194114,0.3627892,0.4542434
0.1467216,0.07342821,0.23085847,0.15171659,-0.13027824,-0.59027374,-0.30294734,0.09210563,-0.45314288,-0.5890675,0.3333375,0.25856176
0.19579224,0.06884202,0.20642656,0.041851245,0.07907434,-0.10943843,-0.30450284,0.28556553,-0.41671458,-0.073964596,0.21971853,0.26962194
0.16271892,0.11427114,0.18665873,-0.035862662,-0.13430779,0.06974052,-0.08037275,0.3935149,-0.4828287,-0.47942877,-0.053500846,0.6330584
0.23309682,0.079797216,0.18708377,0.033444867,0.15058273,0.05965002,-0.20354979,0.39645037,-0.28395462,-0.04918325,0.04176584,0.31502196
0.26630163,0.16093296,0.14924437,0.014692137,0.539948,-0.67657405,0.14843127,0.48226228,-0.06576884,-0.65040815,0.14666672,-0.15149695
0.16601984,0.10830851,0.22809193,0.36619455,0.043457337,-1.5003635,0.033991903,0.15707693,-0.28161004,-1.1824225,0.39833462,-0.36706737
0.25833115,0.035006013,0.21801093,0.26758918,0.2969854,-1.0942435,-0.32717466,0.21594128,-0.11734447,-0.5004091,0.30784082,-0.2190001
0.20186315,0.10743847,0.23596302,0.07346702,0.081636295,-0.18234496,-0.06911835,0.14880127,-0.17135265,-0.5543117,0.12830643,0.4433247
0.19360119,0.06580364,0.26451194,0.32583565,-0.011187129,-1.2292943,-0.21382459,-0.01706469,-0.09990674,-1.0831429,0.36478633,0.0468494
0.17891686,0.14398727,0.19553055,-0.025309617,-0.00013258001,-0.65821254,0.09168747,0.35851958,-0.31508827,-0.5489431,-0.048338927,-0.20150289
0.09109853,0.1134553,0.26808918,-0.035892826,-0.3929419,-0.49690068,-0.13027841,-0.16176344,-0.3167467,-0.19767928,0.08602682,-0.16587988
0.11059171,0.115456104,0.24557814,-0.036948115,-0.38213727,0.39853603,-0.094142824,0.00090517104,-0.36729807,0.05333984,-0.017462779,0.44631383
0.3111777,0.09863651,0.15721539,0.27412662,0.7597703,-0.79704845,-0.054107428,0.38820276,0.017630935,-0.40908945,0.4104613,-0.18835655
0.15144168,0.06984993,0.24509108,0.026863499,-0.12773614,-0.013363524,-0.37826264,0.020933896,-0.39349356,-0.2696429,0.27292174,0.619372
0.21958695,0.12074871,0.22730437,-0.0036007902,0.16255966,0.44766486,-0.023460597,0.19109035,-0.11817813,0.082018375,0.08982262,0.38854477
