x,y,z,R,P,Y,t1,t2,t3,t4,t5,t6
0.29324383,0.21470748,0.090834305,0.60743415,1.0369316,-0.48679167,0.38850456,0.4767354,0.2466135,-1.1899925,0.6955284,0.9352903
0.04228148,0.09766722,0.12990394,0.146838,-0.99220645,-2.5343442,-0.28438735,0.2975397,-0.9617929,-2.305473,0.43350175,-0.14268744
0.18609355,-0.0040863776,0.25201455,-0.07957083,-0.05219961,0.11835402,-0.77070016,0.025699943,-0.29093593,0.11957073,0.1735673,0.7742992
0.10543235,0.13452573,0.10075924,-0.02521429,0.18170646,-0.35296652,0.076322675,0.9428168,-0.9805554,0.04992938,0.22111046,-0.48130712
0.28212807,0.10012751,0.13050562,0.06643441,0.72369426,-0.54119164,-0.094153225,0.5805843,-0.24528527,0.033397198,0.3909935,-0.45759705
0.20412521,0.14316267,0.2195362,0.124123424,0.41572762,0.3228921,0.1327908,0.2054314,-0.17695493,-0.4321828,0.40681133,0.65096205
0.14889139,0.20704319,0.2002593,-0.03179909,0.2132177,-0.0476148,0.45159358,0.3218279,-0.1913724,-0.70844424,0.09911828,0.2100591
0.3251647,-0.0011123158,0.05868853,0.50178254,0.5766456,-2.4790478,-0.3604838,0.82047015,-0.121652484,-1.4276125,0.18800145,-0.47090977
0.30510136,-0.10984284,0.14479756,0.7678017,0.5392778,-0.41771427,-0.7194083,0.436733,-0.055436194,-0.21923923,0.52985716,0.7672884
-0.006116731,0.11946553,0.18193854,0.32022998,-0.3354912,-0.8646047,0.34147102,0.10178599,-0.83515394,-0.5215986,0.34779555,-0.8026552
0.07607013,0.08693397,0.16574317,0.7688865,-0.21795098,-1.1514263,0.04992217,0.28137743,-0.75115705,-1.4295584,0.7395569,-0.041066527
0.29802826,0.018192464,0.18153769,0.11272831,0.32306695,-3.014689,-0.37657762,0.3661638,-0.03043145,-1.8666803,-0.018351555,-0.7560188
0.06839732,0.13146852,0.18314254,0.2067979,-0.38775572,-2.2047079,0.17377174,0.31199396,-0.66443413,-2.0774267,0.1398055,-0.36373103
0.06836624,0.13470058,0.2388619,0.3321739,0.38130677,-0.21567076,0.38954526,-0.03902316,-0.45442826,-0.598704,0.84444046,-0.05832672
0.22061513,0.11988049,0.12353152,0.049207967,0.2979133,-1.5972304,-0.012592912,0.72434396,-0.44603288,-1.1294568,0.047930747,-0.44171497
0.24305889,0.003598312,0.11640148,0.34469444,0.1366986,-1.1011901,-0.4553055,0.7563558,-0.45992905,-1.631042,0.24356842,1.0454264
0.058776308,0.10977551,0.18233335,-0.22565845,-0.35337016,-0.73003393,-0.6185554,-0.23125325,-0.90865415,-0.044725895,0.72468746,-0.043777525
0.2484657,0.022519942,0.047295135,0.9123365,0.5117722,-1.8088143,-0.2884288,1.0145438,-0.55936027,-0.96256924,0.6891018,-0.15948886
0.30179974,0.11970091,0.20497659,0.22675207,0.5037277,-0.8559738,0.02494198,0.18965518,0.22590625,-1.1539992,0.23045611,0.37672907
0.11844025,0.08646705,0.15946995,-0.1340977,-0.36627728,2.948619,-0.38093057,0.43199545,-0.8117958,-2.0440464,0.019405648,-0.88803965
0.12799668,0.058900148,0.10796829,0.6141739,0.13803186,-0.3743697,-0.2914293,0.73727995,-1.0161817,-0.7853837,0.79991937,0.66578656
0.03541982,0.10057544,0.188341,0.7221852,-0.8452829,-1.7432003,0.035529137,0.052461237,-0.61754596,-2.313488,0.5931189,0.059462667
0.049005214,0.13226068,0.2809229,0.5004948,-0.32206747,-1.358487,0.36893374,-0.19685124,-0.15104187,-2.0160587,0.35111722,0.14863163
0.10558678,0.085559025,0.17629442,-0.10065396,-0.5268813,-2.0426126,-0.38059592,0.2842666,-0.74322116,-2.1303194,0.1255801,0.4703831
0.059798628,0.12563175,0.2757711,0.51260793,-0.38147444,-1.0057868,0.28048414,-0.1790863,-0.1703558,-2.0590577,0.38827106,0.60937494
0.039218523,0.12278447,0.22019103,-0.008451349,-0.07844896,0.18487713,-0.08028293,-0.19024846,-0.7198311,0.002860546,0.8312079,0.26364714
0.019944917,0.12726158,0.15735504,0.049122952,-0.62774986,1.3198484,0.07096332,0.24735326,-0.90665233,0.06688166,0.029958472,1.1667366
0.29135224,0.028893046,0.15488687,0.30064264,0.22409964,-2.9182966,-0.29344156,0.4836511,-0.08374369,-1.9708937,0.23238179,-0.57671154
0.22912563,-0.043424655,0.11460895,0.19120619,0.076315366,-1.7909629,-0.72588015,0.79790074,-0.5272893,-2.3246124,0.12529847,1.2792318
0.015597379,0.12944965,0.245285,0.05212777,-0.32922655,0.09767575,0.15524459,-0.20118555,-0.5392245,0.0032269955,0.40723494,-0.06897819
0.24293646,0.024050009,0.24683303,-0.04529502,0.13577497,-2.310194,-0.47184598,0.09535453,-0.07212764,-2.2208722,-0.12783581,0.37826008
0.28459674,0.013091996,0.17116992,0.45958182,0.30599487,-1.371691,-0.33665368,0.4049449,-0.114601195,-1.076184,0.34747732,0.15897566
0.18731652,0.07580652,0.22725892,0.3135377,-0.14024723,-1.858014,-0.16089416,0.17177737,-0.24033433,-1.6457665,0.3307574,-0.084976554
0.27335703,0.0817283,0.2523633,0.50534827,0.38030165,-0.9945979,-0.06143105,-0.00620085,0.23978603,-1.1332537,0.4894946,0.35313612
0.14109138,0.10371753,0.27045476,0.083875656,0.035227627,-0.23881333,-0.12423468,-0.09569876,-0.2590816,-0.19993353,0.4075322,0.07263476
0.26075017,-0.041349873,0.26016682,0.023125881,0.06260231,0.25033236,-0.65768623,0.024947971,0.13448572,-0.2060287,-0.09781462,1.1131778
0.31759027,-0.1593923,-0.04274203,1.2690716,0.31180072,-2.5683756,-0.7381947,0.96543556,0.09365308,-1.2323071,0.5164429,-0.062479198
0.31083316,0.099579155,0.20052943,0.11948291,0.7484074,0.3264636,-0.0769971,0.1987024,0.13731098,-0.08516741,0.42075142,0.5419894
0.34972805,-0.034489386,-0.038235784,0.9118945,0.9475225,-0.111640796,-0.45138493,1.0419617,-0.030469,-0.30869365,0.20246834,1.1772134
0.18436438,0.1495472,0.21646003,0.20540303,0.49623477,-1.0683247,0.20929897,0.20326829,-0.23730719,-0.5402014,0.56270397,-0.69025296
0.041771065,0.105711885,0.22797376,0.13650836,-0.74400485,-2.1195688,-0.17942214,-0.15655892,-0.54578996,-1.680336,0.2225346,-0.3948378
0.20400698,0.10091724,0.28208917,0.031663034,0.010587733,-0.124819785,-0.11405641,-0.07706067,0.055408478,-0.70208967,0.04684998,0.69116634
0.19653215,-0.045600224,0.10580696,0.44746956,-0.0799817,-1.2711343,-0.758178,0.8528381,-0.6895799,-1.3327564,0.38847986,0.8329882
0.17144045,-0.024208102,0.301998,0.31335804,-0.546787,-1.388501,-0.6963589,-0.2492496,0.1138252,-1.7880026,0.58045113,0.967598
0.14498234,0.11119696,0.13766907,0.10308422,-0.14663142,2.8961122,-0.051189363,0.6810184,-0.6905426,-2.4482052,0.17160001,-0.89578027
0.24849644,-0.039545525,0.27874696,0.4479661,0.23169252,-1.5867239,-0.6194215,-0.097275525,0.114669085,-0.46697736,0.48511472,-0.44537815
-0.0093713775,0.10206173,0.26059857,0.62579596,-0.43411463,-0.46215686,0.2859773,-0.32226592,-0.383394,-1.4295676,0.4061884,0.39068228
0.26101297,0.25674674,0.008589916,-0.67341214,0.95174,1.0378728,0.42943102,0.8529543,0.04481995,-0.05005479,0.20244956,0.3066861
0.09008374,0.120689735,0.14829713,0.17436221,-0.109572,-0.2902599,0.061760664,0.5441613,-0.85087264,-0.7392707,0.24796823,0.35207266
0.12231871,0.17411618,0.11287157,-0.028293226,0.16668493,-0.6071597,0.3387745,0.83970886,-0.66752094,-1.7624016,0.029368311,0.8165917
0.18468048,0.14453357,0.17144594,0.062892824,0.10340018,-1.7688538,0.123651445,0.48303378,-0.36970282,-1.8089677,0.077016756,-0.07603651
0.08766435,0.13139512,0.14902066,0.18491781,-0.23220024,-0.6506057,0.15383172,0.5675344,-0.76899606,-1.9611917,0.1536799,1.1206925
0.2784139,0.1663434,0.014121147,-0.24585639,1.1846278,0.5376906,0.15209228,0.97270817,-0.25956887,-0.10677719,0.48555216,0.3481272
0.15110716,0.07493972,0.12958494,-0.006466363,0.0536384,-0.8937554,-0.39288566,0.70521325,-0.8986609,0.110785246,0.24196395,-0.6092503
0.13773586,0.030362127,0.10106933,0.39676204,-0.63690686,-1.712176,-0.47946054,0.82529837,-0.81217766,-2.1924827,0.7430918,0.8315651
-0.035688236,0.10374566,0.21333224,0.6660093,-0.9007699,-1.8636389,0.12348032,-0.309186,-0.5885428,-2.0071633,0.31900185,-0.4563253
0.11517441,0.07263815,0.17256169,0.49163848,-0.17226292,-1.0604044,-0.20214874,0.326639,-0.7433882,-1.0464592,0.6017406,0.035016954
0.16505653,0.1313823,0.21554089,0.34316847,0.5238207,-1.0318097,0.16854298,0.17237917,-0.34980744,-0.5683105,0.76089644,-0.57637537
0.016338646,0.1006094,0.26312125,0.61363924,-0.04784805,-0.78426003,0.29801363,-0.29773074,-0.39250433,-0.98631585,0.6976718,-0.31384635
0.14628413,0.009654058,0.1469449,0.42715162,-0.15236376,-0.9054558,-0.67628706,0.5009162,-0.86077297,-0.7487651,0.6543983,0.40611953
0.19358486,0.025762225,0.19088224,-0.06213892,-0.10184887,-0.41540784,-0.5640437,0.3671621,-0.48770356,-1.0234829,0.002514556,1.1751573
0.24701267,0.103710085,0.22543077,0.44167903,0.32993722,-0.24218678,0.017531931,0.1498236,0.025921822,-1.1936207,0.45673433,1.0469763
0.21429536,0.06255171,0.10574253,0.5538175,0.27864012,-2.1468763,-0.16329467,0.8019455,-0.57744026,-1.2268792,0.50346553,-0.62192225
0.32181147,-0.12052381,0.08963941,0.5066668,0.47596654,-0.88440907,-0.7285663,0.65753955,0.009955525,-0.91284025,0.021181628,0.8882628
0.21986416,0.061479256,0.30261117,-0.016572438,0.01496038,-2.026537,-0.31564915,-0.17836472,0.16489577,-2.4061344,-0.030403264,0.6952601
0.344504,0.14290492,0.011822637,-0.050055213,0.8594163,1.1238163,0.051453054,0.821129,0.16255295,0.05149126,-0.12336567,1.0012267
0.312112,-0.050270934,0.15850894,0.6795724,0.053170428,-2.3824255,-0.4517444,0.3622616,0.1477431,-1.75052,0.58270204,-0.009943545
0.37681705,-0.073513724,-0.017389791,1.5454425,1.0224351,-0.9728287,-0.5205741,0.79985887,0.1320039,-0.0471735,0.6262413,0.6141959
0.17255701,0.06508484,0.111476205,0.44495237,0.2018225,-1.7533051,-0.22644466,0.8158284,-0.797243,-0.9288801,0.47444305,-0.5485723
0.09277895,0.14939792,0.21248177,0.57069,-0.35086012,-2.7321923,0.38429266,0.19569564,-0.28003395,-2.4821439,0.59112513,-0.75414526
0.31169543,0.10297454,0.002363477,0.032941986,0.86672926,-1.8249204,-0.081433594,1.0386653,-0.16412717,-1.3758419,-0.04155066,-0.37142283
0.10966643,0.1037749,0.2695342,0.11159127,-0.17940696,-0.6478484,-0.12920684,-0.13790898,-0.31237346,-0.44094372,0.3135807,-0.11766809
0.11304632,0.057173133,0.26382378,-0.22758047,-0.5282371,-3.0092432,-0.6724603,-0.20594892,-0.3463859,-1.5554055,0.16224134,-0.76563585
0.15383948,0.1487207,0.23616329,0.15279403,-0.14620033,-1.5709305,0.18595803,0.14296022,-0.16109812,-2.473052,0.19654843,0.7038434
0.32200703,0.095179185,0.075825535,0.029000022,0.69392955,-2.864446,-0.104426086,0.7412742,-0.07176769,-2.0603971,-0.050441578,-0.70468765
