x,y,t1,t2,t3
-0.3703192,-0.4056382,1.5590361,2.41344,0.27796006
0.031293627,0.16252986,0.414786,0.9657973,1.992017
-0.111282095,-0.2988594,1.5396739,2.8162644,1.4313976
-0.36445025,0.021550529,1.9864488,1.0960811,1.2620322
0.37033358,0.2536985,0.070138425,0.53048605,0.9232778
-0.041603893,-0.03358701,1.6289843,2.1917875,2.51331
0.022818264,0.12673798,0.505889,0.88677293,2.1413364
-0.012011275,-0.017950967,2.8751667,1.2475262,2.7462418
-0.0030691028,0.00026760995,1.3176101,1.7370088,2.9931152
0.2982066,0.24890864,0.11361514,0.58192044,1.1731253
-0.38105536,-0.35135794,0.9585,2.9279656,0.5526381
0.13804817,0.54128444,0.84770715,0.47337446,0.09964977
-0.09023368,-0.041745782,0.65385896,2.9210498,2.2717147
-0.3202333,-0.36010188,2.3321183,1.653407,0.765475
-0.19299483,0.4977224,1.8365511,0.10415209,0.43579194
-0.056128412,-0.010288019,0.76100373,2.5618713,2.4917877
-0.031869784,0.029887915,0.874156,1.5141183,2.575416
0.1273805,-0.18063103,3.1323771,2.1942174,1.7829998
-0.1975694,-0.025489967,2.6239939,0.6459078,1.8635049
0.32421494,0.35812098,0.3529493,0.48209918,0.7593488
-0.114206724,-0.49143544,2.2815394,2.2025084,0.6403312
-0.07768677,-0.3260222,2.045345,2.4331195,1.3725346
-0.04404655,-0.019878305,1.6307718,1.9347572,2.5452816
-0.41339567,-0.12687196,3.0790658,0.36030367,0.99514705
0.0019777417,-0.0054515004,2.188135,2.8722787,2.9377148
0.070637,-0.54962456,2.9567993,1.8834077,0.2048591
-0.37346166,0.41513762,1.7152978,0.58809775,0.10688618
0.47694838,-0.29345837,2.966437,2.7651668,0.0038830761
-0.35142258,-0.010332298,1.8648056,1.30618,1.3123043
-0.501187,0.057883568,0.85175353,2.1748557,0.64040816
-0.0054647774,-0.026876912,2.1466367,2.3651607,2.6952848
-0.29421252,0.42687035,2.1581347,0.016123839,0.55182564
-0.24014911,-0.48752055,2.3551185,1.8995662,0.34544322
-0.030208215,-0.019500494,0.6663012,3.048522,2.629227
-0.2634538,0.49327856,0.88588965,1.1754508,0.07445874
-0.19080776,0.5074469,1.5425626,0.38789415,0.35915205
-0.44296935,-0.06662987,1.4842461,1.8066437,0.9275077
-0.0029578507,7.046573e-05,2.5028718,0.61490536,2.99609
-0.37485182,0.09498073,2.6472628,0.2461706,1.1798497
-0.1701248,-0.05263684,1.6416749,1.7999773,1.9433489
-0.35945594,-0.30928528,2.1872213,1.6648873,0.8043597
-0.36455065,0.34892505,2.31408,0.06401168,0.63977486
-0.17084885,0.39049804,1.1775792,0.80564046,1.0212793
0.009532159,0.18749946,0.2833376,1.2366642,1.9065642
-0.012346268,0.024495274,0.5474763,1.4901841,2.6952522
-0.31562352,0.03736055,1.4093181,1.6144522,1.4352854
-0.00024154782,-0.00092992187,1.8886963,2.5695708,3.0587273
0.24765854,-0.18933386,2.5683398,3.0621316,1.4571937
0.019018099,0.028715909,0.1597162,0.8261176,2.6403599
-0.38066214,0.38490576,1.5606138,0.79003775,0.36707664
0.34594437,0.12463342,0.100763366,0.24503134,1.2521812
0.07801388,-0.5540981,2.4322305,2.4200335,0.055870272
-0.35980278,0.09161533,2.550631,0.34163338,1.2387139
-0.21542372,0.29464027,0.9338814,1.268237,1.2623819
0.32384363,0.12775537,0.16124232,0.21451126,1.324999
-0.09523785,0.07912654,1.5911102,0.85722303,2.1625142
-0.00025516655,0.0050010085,0.15698792,1.4647876,2.9521852
-0.09203538,-0.09063258,0.9300811,2.9892304,2.139666
-0.30124706,0.1358836,0.15321401,2.564635,1.3895352
