x,y,z,R,P,Y,t1,t2,t3,t4,t5,t6
0.3772973,0.051655084,0.07076532,0.550364,1.0948994,-0.82838506,-0.18714982,0.5673196,0.17435473,-0.16795814,0.43228576,-0.10121548
0.12361186,0.15545122,0.17705789,-0.021240093,0.032535724,-0.16206372,0.20986938,0.44309068,-0.56520534,0.088452935,0.15897572,-0.45987543
-0.01573679,0.09802702,0.21515332,0.57552487,-0.29060557,0.475366,0.27877754,-0.19654804,-0.67691433,-0.8830892,0.578475,0.7964677
0.15094605,0.1094143,0.25482687,0.44553733,-0.021431772,-1.3071955,0.07238263,0.0076617002,-0.173796,-1.3471562,0.45459786,-0.074668705
0.22303611,0.07650038,0.13918963,0.32451752,0.4537758,-1.0912349,-0.16458017,0.619171,-0.52338946,-0.48963678,0.46498707,-0.35068837
0.31711346,0.028704649,0.13076054,0.3614324,0.72886014,-0.6708951,-0.30305588,0.53215003,-0.1227898,-0.13939834,0.3912513,-0.07735312
0.11720203,0.112161696,0.23437953,-0.0090367,0.057266384,0.6598845,-0.13031137,0.015350103,-0.51947653,0.030848622,0.55995417,0.7633416
0.28924134,0.07262415,0.14737916,0.063024275,0.38526413,-1.4709285,-0.1913177,0.5266868,-0.13452756,-1.4116794,-0.014340818,0.14155346
0.27018082,-0.036601048,0.11979419,0.7462615,0.3134375,-1.5925069,-0.5063755,0.63619435,-0.33076394,-0.87629306,0.5709203,-0.014829636
0.09617396,0.10063679,0.21799272,0.24079464,-0.18113828,-1.1367537,-0.09688327,0.077876225,-0.59109986,-0.6463057,0.42971167,-0.48146987
0.35961983,-0.027221434,0.086183,0.62067133,0.79545766,-0.3834024,-0.41480953,0.59632003,0.07397419,-0.2870413,0.30394116,0.61812645
0.053905286,0.121988036,0.22648752,0.14197215,-0.5296376,-1.0330325,0.048724413,-0.009076238,-0.5293939,-1.5729655,0.09751233,0.42571992
0.35367125,0.016289061,0.10068165,0.31349927,0.7877778,-0.44740352,-0.31904757,0.5766709,0.053177476,0.07716131,0.20582026,-0.07970196
0.23948285,0.10804875,0.21490856,0.42332053,0.17715034,-1.5352707,0.03609556,0.21083708,-0.0026496053,-1.6376053,0.42396227,0.14919257
0.20593242,0.027478464,0.20650831,0.08473539,-0.049437918,-0.96013343,-0.4783639,0.2925874,-0.37243196,-0.9201955,0.12320692,0.4324146
0.36423385,0.09292036,0.047153015,0.13764012,0.88586205,-0.73245627,-0.086884946,0.697102,0.16790336,-0.5961175,0.03432554,0.02487427
0.26083186,0.20910916,0.0995663,-0.18934841,0.786309,-0.39231145,0.30940604,0.63162863,-0.06310445,-0.3706056,0.24784836,-0.38255206
0.2016132,0.08185616,0.22659501,-0.015456519,-0.062482793,-0.0049254643,-0.22882253,0.1950074,-0.2421853,-0.050009847,-0.017201625,0.27441025
