x,y,z,R,P,Y,t1,t2,t3,t4,t5,t6
-0.012481585,0.11473266,0.13113792,0.17300476,-0.724474,-1.0995389,-0.10842836,-0.02192545,-1.1065319,-0.47294688,0.45424497,-0.7016249
0.08504646,0.10262184,0.09191017,0.89453655,-0.08598152,-0.40929663,0.24559724,0.8355826,-0.8536204,-1.9128563,0.8913314,1.2085687
-0.0748782,0.10505994,0.23654002,1.2314303,-1.1328217,-3.0181255,0.4407133,-0.430192,-0.3230102,-3.1809318,0.67627496,-1.1107204
0.1162457,0.10052526,0.16260326,0.22192088,-0.3464904,3.14124,-0.08844769,0.4680893,-0.69857144,-1.9781483,0.26018822,-1.142317
0.26469374,-0.13277923,0.18795161,0.37069213,0.08003212,2.8882568,-0.86127067,0.32730612,0.011375785,-1.57748,0.17549811,-0.9110866
0.29942358,-0.046643987,-0.08275047,0.9177196,0.8882499,0.008773822,-0.58331007,1.392412,-0.25712478,0.21642709,0.04315503,0.8314301
0.0279233,0.13869032,0.18177181,0.1172592,-0.46748024,-1.0144112,0.2654456,0.24331519,-0.74434793,-2.4346144,-0.026852578,1.1312608
0.27692214,-0.062671155,0.15982813,0.991402,0.22190368,-1.2709796,-0.5378602,0.36800697,-0.122232676,-0.90822005,0.8422627,0.3856883
0.16863391,0.07822828,0.11353935,0.27753556,0.058778644,-0.6328581,-0.19264728,0.835148,-0.7609283,-1.4220982,0.26310116,0.9998225
0.094775885,0.08138502,0.19204348,-0.548922,-0.54376566,-2.6726527,-0.74308085,-0.015660048,-0.73980385,-1.4168284,0.021476522,-0.36448634
-0.08311023,0.06217091,0.22584055,0.9488499,-0.364745,-0.2814273,0.5864012,-0.43396232,-0.5505779,-1.4414827,0.4541548,0.14406276
0.15986276,0.021570949,0.040703256,0.53205,-0.46727404,-1.7734171,-0.43723512,1.249307,-0.77803737,-2.3046122,0.9430581,1.0065745
0.28179663,0.05139137,0.14032738,1.2355134,0.5592481,-2.7645144,-0.095446706,0.37753817,-0.098637104,-0.9765296,1.1212825,-1.1366984
0.01837875,0.08887662,0.11996846,0.52110535,-1.2454915,0.4090297,-0.7941684,-0.40681356,-1.0169017,-1.3298352,0.9455388,1.4150192
0.2889493,-0.12190345,-0.043599516,0.36579052,0.26814514,-2.94051,-0.7994689,1.1789503,-0.011487007,-3.06512,0.72161525,1.0044638
0.17058775,0.18306378,0.13447258,0.79772294,0.4527928,-0.56027806,0.51137733,0.51712644,-0.19161248,-1.7466583,0.9068051,1.0236255
0.082664534,0.14696626,0.05705582,-0.078645006,0.30811244,2.7912474,0.21511185,1.3786134,-1.0735803,-2.5510576,-0.015097007,-1.1695043
0.10829826,0.062681854,0.104810216,-0.77031034,-0.6417383,-2.534545,-0.8178705,0.6044347,-1.0079175,-3.0365467,0.55621046,1.5747336
0.12179525,0.08703333,0.31104717,0.03145107,-0.5386335,-1.0483612,-0.25960654,-0.32214963,0.028734088,-2.519044,0.27397686,1.6974527
0.08719733,0.07802453,0.056375057,0.7185136,0.058559548,-0.6972125,-0.07135779,1.271382,-1.1597071,-1.5388323,0.70972586,0.9763998
0.10614218,0.07485444,0.17945795,-1.2067671,-0.51433057,2.8172252,-0.9526484,-0.06993693,-0.6641313,-3.2828379,0.5250731,1.1604944
0.059551604,0.09343964,0.14435363,0.8226167,-0.44707283,-0.097608685,0.10640824,0.39746466,-0.7977901,-1.9184068,0.70774686,1.3723413
0.33154637,0.20159055,-0.060423538,-0.51988816,1.152944,-1.4345858,0.21724343,0.9328817,0.2700262,-3.1589737,-0.007987872,1.1648027
0.18194334,-0.04654256,0.15701787,-0.031512294,-0.41261163,-1.7856774,-0.8587215,0.53996444,-0.51167214,-2.3981512,0.4341563,1.4820048
0.31716058,-0.023595627,-0.118890196,1.3954407,0.33165124,-3.084025,-0.31414658,1.1854837,0.13012683,-1.5820366,0.9025013,-0.19533837
0.15291415,0.14003964,0.033441424,0.63516784,-0.020919181,-2.6127663,0.29392445,1.1459286,-0.5039087,-2.4178462,1.0126017,-0.2819879
0.20576194,-0.058147483,0.24000782,-0.04687498,0.077259146,2.497521,-0.9354644,0.11751184,-0.24369502,-2.549113,-0.1615969,-0.29720974
-0.050167736,0.094562404,0.14067759,1.7208296,-0.91676265,0.25667435,0.33285356,-0.09506482,-0.7613126,-2.719685,0.8558528,1.392186
-0.034522165,0.08681156,0.18121193,1.1169132,-0.69537383,-2.2287335,0.24061298,-0.18644656,-0.70103455,-1.9980044,0.6048373,-1.20237
0.1562578,0.019848287,0.07309504,0.3882427,0.33407897,-1.8781027,-0.7784269,1.1447456,-1.1916926,-0.046441793,0.55348414,-0.9875766
0.039316807,0.127719,0.08776091,-0.3425053,-0.4067335,0.6150065,-0.45036912,0.24095121,-1.3614995,0.18443465,0.6128291,1.0131334
0.13470823,0.22724847,0.22449487,-0.08608685,0.14265843,-1.7240819,0.5411761,0.19913104,-0.047826886,-3.1610467,-0.015167668,0.8896564
0.22576967,-0.08833726,0.08444022,0.26454777,-0.12462761,3.0902953,-0.836995,0.91312575,-0.43956703,-2.476723,0.44587827,0.16891849
0.2318415,0.21121767,-0.09264554,-0.67733604,1.0338084,0.40936193,0.3200208,1.3638397,-0.16336572,-0.70577383,-0.052461155,0.37689388
0.06970473,0.15176664,0.21203478,0.12680745,-0.12571485,0.7151084,0.3343643,0.19862226,-0.52915275,-0.43064642,0.18642367,0.79056275
