x,y,z,R,P,Y,t1,t2,t3,t4,t5,t6
0.15852748,0.11153943,0.27603975,0.26026177,0.035963893,-0.8800915,0.015705287,-0.08006553,-0.10076442,-0.89864093,0.3356013,-0.016254038
0.119628325,0.10752039,0.27152234,-0.059947614,-0.35066733,0.34158266,-0.16199979,-0.12118509,-0.2383334,0.030495286,0.0039746873,0.48373213
0.22450991,0.1105361,0.27153674,0.0522504,0.16651987,-0.78012544,-0.055010885,-0.028016344,0.08793953,-0.37012362,0.11724153,-0.34935492
0.14278208,0.15329415,0.2682505,0.018160151,-0.006741044,0.24212214,0.18540642,-0.020962052,-0.10780549,-0.13922173,0.119942635,0.19480589
0.25810206,0.059147187,0.17570567,0.29504845,0.35627466,-1.1426105,-0.21671614,0.41863534,-0.2399423,-0.686037,0.30653182,-0.16863652
0.15339303,0.14511886,0.23657528,0.14743961,0.07071029,-0.29566747,0.17925596,0.13623044,-0.23184521,-0.8512384,0.21000779,0.3739799
0.23249495,0.07633537,0.25706944,0.036756657,0.17140564,-0.028819308,-0.22144154,0.043179452,-0.02414164,0.013735652,0.15622841,0.18202433
0.13160454,0.08898647,0.27140924,0.18937822,-0.14598827,-0.69513094,-0.18834032,-0.117225006,-0.26073986,-0.68330014,0.33939448,0.12226927
0.14582324,0.091023445,0.23829012,0.11954056,-0.044495415,-0.15627432,-0.1940284,0.065733984,-0.40943936,-0.37932348,0.34570992,0.39258716
0.19357699,0.16549951,0.19514063,-0.050679076,0.11942766,-0.94278306,0.18462378,0.351687,-0.20500933,-0.94488597,-0.0340252,-0.18757604
0.23229103,0.14868692,0.22266507,-0.016139457,0.2916167,-0.08750686,0.10087654,0.19560054,-0.01614821,-0.12056136,0.1131054,-0.068960786
0.18557341,0.14495367,0.22386454,0.0077386405,0.09007503,-0.08518997,0.10701451,0.21163633,-0.19392015,-0.23875344,0.07309532,0.047050953
0.16712205,0.13314934,0.21499527,0.020674352,-0.036307774,-0.325857,0.05241552,0.25250286,-0.3147123,-0.64575994,0.031126507,0.26652935
0.17839403,0.12942816,0.28845,0.000891239,0.21175683,-0.19083114,0.024508059,-0.12718552,0.0011128485,-0.018170595,0.3377986,-0.19746086
0.19230923,0.13752724,0.23776202,0.013142305,0.092720546,-0.04900279,0.067851335,0.14186916,-0.13142335,-0.23406237,0.08345242,0.11791912
